sample	aligner	AlignedBases	AlignedBasesPct	AlignedReadLengthMean	AlignedReadLengthMedian	AlignedReadLengthMode	AlignedReadLengthStandardDeviation	ChimericReadPairPct	DeletedBases	DeletedBasesPct	DuplicateBases	DuplicateBasesPct	DuplicateReads	DuplicateReadsPct	FilteredRecords	FilteredRecordsPct	InputFileName	InputFileSize	InsertSizeMean	InsertSizeMedian	InsertSizeMode	InsertSizeStandardDeviation	InsertedBases	InsertedBasesPct	MappedBases	MappedBasesPct	MappedReads	MappedReadsPct	MatchedBases	MatchedBasesPct	MismatchedBases	MismatchedBasesPct	PerfectBases	PerfectBasesPct	PerfectReads	PerfectReadsPct	Q20Bases	Q20BasesPct	Q30Bases	Q30BasesPct	R1AlignedBases	R1AlignedBasesPct	R1AlignedReadLengthMean	R1AlignedReadLengthMedian	R1AlignedReadLengthMode	R1AlignedReadLengthStandardDeviation	R1DeletedBases	R1DeletedBasesPct	R1InsertedBases	R1InsertedBasesPct	R1MappedBases	R1MappedBasesPct	R1MappedReads	R1MappedReadsPct	R1MatchedBases	R1MatchedBasesPct	R1MismatchedBases	R1MismatchedBasesPct	R1PerfectBases	R1PerfectBasesPct	R1PerfectReads	R1PerfectReadsPct	R1Q20Bases	R1Q20BasesPct	R1Q30Bases	R1Q30BasesPct	R1SoftClippedBases	R1SoftClippedBasesPct	R1SoftClippedReads	R1SoftClippedReadsPct	R1UnmappedBases	R1UnmappedBasesPct	R1UnmappedReads	R1UnmappedReadsPct	R1UnpairedReads	R1UnpairedReadsPct	R1YieldBases	R1YieldReads	R2AlignedBases	R2AlignedBasesPct	R2AlignedReadLengthMean	R2AlignedReadLengthMedian	R2AlignedReadLengthMode	R2AlignedReadLengthStandardDeviation	R2DeletedBases	R2DeletedBasesPct	R2InsertedBases	R2InsertedBasesPct	R2MappedBases	R2MappedBasesPct	R2MappedReads	R2MappedReadsPct	R2MatchedBases	R2MatchedBasesPct	R2MismatchedBases	R2MismatchedBasesPct	R2PerfectBases	R2PerfectBasesPct	R2PerfectReads	R2PerfectReadsPct	R2Q20Bases	R2Q20BasesPct	R2Q30Bases	R2Q30BasesPct	R2SoftClippedBases	R2SoftClippedBasesPct	R2SoftClippedReads	R2SoftClippedReadsPct	R2UnmappedBases	R2UnmappedBasesPct	R2UnmappedReads	R2UnmappedReadsPct	R2UnpairedReads	R2UnpairedReadsPct	R2YieldBases	R2YieldReads	SoftClippedBases	SoftClippedBasesPct	SoftClippedReads	SoftClippedReadsPct	TotalPairs	TotalRecords	TotalSameChrPairs	TotalSameChrPairsPct	UnfilteredRecords	UnfilteredRecordsPct	UnmappedBases	UnmappedBasesPct	UnmappedReads	UnmappedReadsPct	UnpairedReads	UnpairedReadsPct	WgsAlignedReads	WgsAlignedReadsPct	WgsCalculatedAlignedReads	WgsCovDuplicateReads	WgsCovDuplicateReadsPct	WgsCoverageBases1	WgsCoverageBases10	WgsCoverageBases100	WgsCoverageBases1000	WgsCoverageBases1000Pct	WgsCoverageBases100Pct	WgsCoverageBases10Pct	WgsCoverageBases15	WgsCoverageBases15Pct	WgsCoverageBases1Pct	WgsCoverageBases20	WgsCoverageBases20Pct	WgsCoverageBases30	WgsCoverageBases30Pct	WgsCoverageBases40	WgsCoverageBases40Pct	WgsCoverageBases50	WgsCoverageBases500	WgsCoverageBases500Pct	WgsCoverageBases50Pct	WgsCoverageBases60	WgsCoverageBases60Pct	WgsCoverageBases70	WgsCoverageBases70Pct	WgsCoverageMean	WgsCoverageMedian	WgsCoverageStandardDeviation	WgsExpectedAlignedReads	WgsFilteredLowBaseQualityBases	WgsFilteredOverlapBases	WgsReadsPaired	WgsReadsPairedWithMates	WgsTotalReads	YieldBases	YieldReads
20260507-LH01106-0005-A23K3JVLT4-LSMC-HG003-23ame-ilmn-1-bylane-1-D0-PCR-FREE-ILMN-NOVASEQ.sent	sent	15331030170	98.610447	149.589978	151	151	10.097558	7.700231	5786007	0.03774	11848584648	76.563308	78467448	76.563308	0	0.0	results/day/hg38/20260507-LH01106-0005-A23K3JVLT4-LSMC-HG003-23ame-ilmn-1-bylane-1-D0-PCR-FREE-ILMN-NOVASEQ/align/sent/dmd/20260507-LH01106-0005-A23K3JVLT4-LSMC-HG003-23ame-ilmn-1-bylane-1-D0-PCR-FREE-ILMN-NOVASEQ.sent.dmd.cram	1223717358	581.253692	529	407	260.363207	5010144	0.03268	15547064945	100.0	102960695	100.0	15255542772	99.507617	70477254	0.459703	10966657703	70.538444	72986613	70.88784	15133989203	98.714757	14541821807	94.852216	7690806111	98.944183	149.965287	151	151	8.649866	2795326	0.036346	2458689	0.031969	7772873433	100.0	51475983	100.0	7661384817	99.617449	26962605	0.350582	5795774230	74.564114	38529649	74.849759	7638016211	99.313597	7427892651	96.581458	53064148	0.682684	1280426	2.487424	0	0.0	0	0.0	0	0.0	7772873433	51475983	7640224059	98.276767	149.214077	151	151	11.351724	2990681	0.039144	2551455	0.033395	7774191512	100.0	51484712	100.0	7594157955	99.397058	43514649	0.569547	5170883473	66.513456	34456964	66.926594	7495972992	98.111952	7113929156	93.111525	91444796	1.176261	2171684	4.218114	0	0.0	0	0.0	15270	0.029659	7774191512	51484712	144508944	0.929493	3452110	3.352843	51469442	102960695	50078683	97.269036	102960695	100.0	0	0.0	0	0.0	0	0.0	102487014	99.53994	24019566	78467448	76.211071	1867391771	6698050	427279	17587	0.000567	0.013784	0.216072	3478701	0.112219	60.23997	2374876	0.076611	1514996	0.048872	1155889	0.037288	960453	57409	0.001852	0.030983	823196	0.026555	697503	0.022501	1.15103	1	111.299026	102487014	0	0	102487014	102379268	102960695	15547064945	102960695
20260507-LH01106-0005-A23K3JVLT4-LSMC-HG003-23ame-ilmn-1-bylane-2-D0-PCR-FREE-ILMN-NOVASEQ.sent	sent	15418537279	98.586273	149.557858	151	151	10.191088	8.04935	5808229	0.03767	11800898244	75.806105	78151644	75.806105	0	0.0	results/day/hg38/20260507-LH01106-0005-A23K3JVLT4-LSMC-HG003-23ame-ilmn-1-bylane-2-D0-PCR-FREE-ILMN-NOVASEQ/align/sent/dmd/20260507-LH01106-0005-A23K3JVLT4-LSMC-HG003-23ame-ilmn-1-bylane-2-D0-PCR-FREE-ILMN-NOVASEQ.sent.dmd.cram	1291305629	584.061397	532	420	261.40497	5057061	0.032799	15639639119	100.0	103573769	100.0	15338564200	99.481319	74916018	0.485883	10872351142	69.517916	72362917	69.866065	15197805242	98.568398	14544407513	94.330657	7736822121	98.946976	149.967901	151	151	8.62852	2813434	0.036364	2490752	0.032193	7819159765	100.0	51782515	100.0	7706490808	99.607962	27840561	0.359845	5779792887	73.918337	38422617	74.199982	7678558842	99.246935	7445960429	96.240553	53245833	0.680966	1291847	2.494755	0	0.0	0	0.0	0	0.0	7819159765	51782515	7681715158	98.225631	149.147134	151	151	11.531563	2994795	0.038986	2566309	0.033408	7820479354	100.0	51791254	100.0	7632073392	99.353767	47075457	0.612825	5092558255	65.118237	33940300	65.532879	7519246400	97.884994	7098447084	92.407059	95430518	1.220264	2281264	4.404728	0	0.0	0	0.0	14932	0.028831	7820479354	51791254	148676351	0.950638	3573111	3.449822	51776322	103573769	50268370	97.059573	103573769	100.0	0	0.0	0	0.0	0	0.0	103094130	99.536911	24942486	78151644	75.455055	1905776777	6957623	436254	18781	0.000606	0.014073	0.224445	3573510	0.115277	61.478251	2422432	0.078145	1539099	0.04965	1179447	0.038048	974235	62537	0.002017	0.031428	835144	0.026941	708604	0.022859	1.195065	1	124.0765	103094130	0	0	103094130	102982552	103573769	15639639119	103573769
20260507-LH01106-0005-A23K3JVLT4-LSMC-HG003-23ame-ilmn-1-bylane-3-D0-PCR-FREE-ILMN-NOVASEQ.sent	sent	15322376319	98.606504	149.585802	151	151	10.086062	7.859397	5776964	0.037703	11763182370	76.052262	77901870	76.052262	0	0.0	results/day/hg38/20260507-LH01106-0005-A23K3JVLT4-LSMC-HG003-23ame-ilmn-1-bylane-3-D0-PCR-FREE-ILMN-NOVASEQ/align/sent/dmd/20260507-LH01106-0005-A23K3JVLT4-LSMC-HG003-23ame-ilmn-1-bylane-3-D0-PCR-FREE-ILMN-NOVASEQ.sent.dmd.cram	1261800560	580.880516	529	409	259.46115	5053542	0.032981	15538910492	100.0	102906692	100.0	15243928325	99.488017	73394452	0.479002	10833040941	69.715576	72093962	70.057603	15111040831	98.620739	14482777349	94.520439	7687152668	98.9499	149.974096	151	151	8.607737	2791702	0.036316	2488158	0.032368	7768732107	100.0	51448557	100.0	7657333604	99.612092	27330906	0.35554	5765181042	74.210064	38324177	74.490286	7631678644	99.278354	7409259653	96.384968	52584268	0.676871	1274272	2.476789	0	0.0	0	0.0	0	0.0	7768732107	51448557	7635223651	98.263171	149.196893	151	151	11.362467	2985262	0.039099	2565384	0.033599	7770178385	100.0	51458135	100.0	7586594721	99.363098	46063546	0.603303	5067859899	65.221925	33769785	65.625746	7479362187	97.958652	7073517696	92.643229	92274886	1.187552	2215883	4.306186	0	0.0	0	0.0	15228	0.029593	7770178385	51458135	144859154	0.932235	3490155	3.391572	51442907	102906692	50005618	97.177284	102906692	100.0	0	0.0	0	0.0	0	0.0	102432023	99.538738	24530153	77901870	75.701462	1889712514	6784426	435814	18347	0.000592	0.014059	0.218858	3539372	0.114176	60.960038	2420946	0.078097	1532840	0.049448	1167969	0.037677	971706	59697	0.001926	0.031346	834156	0.026909	715258	0.023073	1.175614	1	117.594129	102432023	0	0	102432023	102324592	102906692	15538910492	102906692
20260507-LH01106-0005-A23K3JVLT4-LSMC-HG003-23ame-ilmn-1-bylane-4-D0-PCR-FREE-ILMN-NOVASEQ.sent	sent	15137733344	98.598069	149.572093	151	151	10.13149	8.10563	5716844	0.037766	11683391554	76.450742	77373454	76.450742	0	0.0	results/day/hg38/20260507-LH01106-0005-A23K3JVLT4-LSMC-HG003-23ame-ilmn-1-bylane-4-D0-PCR-FREE-ILMN-NOVASEQ/align/sent/dmd/20260507-LH01106-0005-A23K3JVLT4-LSMC-HG003-23ame-ilmn-1-bylane-4-D0-PCR-FREE-ILMN-NOVASEQ.sent.dmd.cram	1274143846	575.923572	525	407	255.990415	4977035	0.032878	15352971357	100.0	101675307	100.0	15058512122	99.476664	74244187	0.490458	10654525568	69.397157	70907980	69.739627	14917294780	98.543781	14263507691	94.224858	7595449653	98.955363	149.9773	151	151	8.587698	2759412	0.03633	2433804	0.032043	7675632151	100.0	50832001	100.0	7565525135	99.60602	27490714	0.361937	5667524709	73.837888	37674738	74.116181	7536957571	99.229906	7302714010	96.145908	51793592	0.674779	1265078	2.488743	0	0.0	0	0.0	0	0.0	7675632151	50832001	7542283691	98.240855	149.166235	151	151	11.456997	2957432	0.039211	2543231	0.03372	7677339206	100.0	50843306	100.0	7492986987	99.346396	46753473	0.619885	4987000859	64.957412	33233242	65.364046	7380337209	97.852819	6960793681	92.290266	92720551	1.207717	2229829	4.385688	0	0.0	0	0.0	14748	0.029007	7677339206	50843306	144514143	0.941278	3494907	3.437321	50828558	101675307	49368653	97.099612	101675307	100.0	0	0.0	0	0.0	0	0.0	101206937	99.539347	23833483	77373454	76.098569	1854132734	6613508	424880	17338	0.000559	0.013706	0.213344	3445655	0.111153	59.812273	2360759	0.076155	1508826	0.048673	1151606	0.03715	957496	56718	0.00183	0.030888	818051	0.026389	692778	0.022348	1.141779	1	118.449377	101206937	0	0	101206937	101100644	101675307	15352971357	101675307
20260507-LH01106-0005-A23K3JVLT4-LSMC-HG003-23ame-ilmn-1-bylane-5-D0-PCR-FREE-ILMN-NOVASEQ.sent	sent	15222668323	98.604139	149.571487	151	151	10.12679	8.057564	5716717	0.037554	11649978878	75.80646	77152178	75.80646	0	0.0	results/day/hg38/20260507-LH01106-0005-A23K3JVLT4-LSMC-HG003-23ame-ilmn-1-bylane-5-D0-PCR-FREE-ILMN-NOVASEQ/align/sent/dmd/20260507-LH01106-0005-A23K3JVLT4-LSMC-HG003-23ame-ilmn-1-bylane-5-D0-PCR-FREE-ILMN-NOVASEQ.sent.dmd.cram	1293974106	580.379677	529	412	258.404457	4958258	0.032572	15438163594	100.0	102239494	100.0	15142230824	99.471594	75479241	0.495834	10682288320	69.194035	71094710	69.537424	14996441448	98.513882	14329622461	94.133447	7638752540	98.967814	149.987008	151	151	8.540232	2753587	0.036048	2426533	0.031766	7718421021	100.0	51115371	100.0	7608505046	99.604026	27820961	0.364208	5686883804	73.679368	37803646	73.957491	7578771623	99.214781	7339192606	96.078418	51591088	0.668415	1262137	2.469193	0	0.0	0	0.0	0	0.0	7718421021	51115371	7583915783	98.240527	149.155282	151	151	11.4835	2963130	0.039071	2531725	0.033383	7719742573	100.0	51124123	100.0	7533725778	99.338205	47658280	0.628413	4995404516	64.70947	33291064	65.118113	7417669825	97.807914	6990429855	92.174413	93796091	1.215016	2264650	4.429709	0	0.0	0	0.0	15252	0.029833	7719742573	51124123	145387179	0.941739	3526787	3.449535	51108871	102239494	49641938	97.100811	102239494	100.0	0	0.0	0	0.0	0	0.0	101775202	99.545878	24623024	77152178	75.462206	1891366949	6828747	433206	18203	0.000587	0.013975	0.220288	3538774	0.114157	61.013406	2411230	0.077784	1530825	0.049383	1169989	0.037743	968232	59370	0.001915	0.031234	830543	0.026792	706502	0.022791	1.179837	1	122.615465	101775202	0	0	101775202	101665216	102239494	15438163594	102239494
20260507-LH01106-0005-A23K3JVLT4-LSMC-HG003-23ame-ilmn-1-bylane-6-D0-PCR-FREE-ILMN-NOVASEQ.sent	sent	15466181949	98.599927	149.574965	151	151	10.122949	7.844692	5767145	0.037289	11901076778	76.222836	78815078	76.222836	0	0.0	results/day/hg38/20260507-LH01106-0005-A23K3JVLT4-LSMC-HG003-23ame-ilmn-1-bylane-6-D0-PCR-FREE-ILMN-NOVASEQ/align/sent/dmd/20260507-LH01106-0005-A23K3JVLT4-LSMC-HG003-23ame-ilmn-1-bylane-6-D0-PCR-FREE-ILMN-NOVASEQ.sent.dmd.cram	1287298074	582.460114	530	407	260.762125	5070570	0.032785	15685794534	100.0	103879434	100.0	15386469450	99.484601	74641929	0.482614	10914177604	69.580011	72637874	69.925173	15247617119	98.586821	14597241657	94.381675	7759956884	98.951409	149.971889	151	151	8.610361	2783383	0.035869	2490061	0.032089	7842189379	100.0	51935029	100.0	7729489660	99.607379	27977163	0.360532	5791074584	73.845125	38497622	74.126505	7701312925	99.244275	7467387390	96.229754	53197309	0.678348	1297080	2.497505	0	0.0	0	0.0	0	0.0	7842189379	51935029	7706225065	98.248508	149.177391	151	151	11.425429	2983762	0.038719	2580509	0.033486	7843605155	100.0	51944405	100.0	7656979790	99.360968	46664766	0.605546	5123103020	65.315667	34140252	65.724599	7546304194	97.924783	7129854267	92.520712	94152565	1.200374	2264576	4.359615	0	0.0	0	0.0	15121	0.02911	7843605155	51944405	147349874	0.939384	3561656	3.428644	51929284	103879434	50486747	97.193811	103879434	100.0	0	0.0	0	0.0	0	0.0	103400873	99.539311	24585795	78815078	75.871686	1891613872	6848826	434962	18170	0.000586	0.014031	0.220936	3545306	0.114368	61.021393	2418546	0.07802	1532235	0.049428	1169419	0.037724	972983	58466	0.001886	0.031387	833840	0.026899	710040	0.022905	1.178051	1	117.162137	103400873	0	0	103400873	103290206	103879434	15685794534	103879434
20260507-LH01106-0005-A23K3JVLT4-LSMC-HG003-23ame-ilmn-1-bylane-7-D0-PCR-FREE-ILMN-NOVASEQ.sent	sent	15338643272	98.577297	149.545493	151	151	10.223697	8.129168	5786174	0.037723	11732857493	75.755336	77701043	75.755336	0	0.0	results/day/hg38/20260507-LH01106-0005-A23K3JVLT4-LSMC-HG003-23ame-ilmn-1-bylane-7-D0-PCR-FREE-ILMN-NOVASEQ/align/sent/dmd/20260507-LH01106-0005-A23K3JVLT4-LSMC-HG003-23ame-ilmn-1-bylane-7-D0-PCR-FREE-ILMN-NOVASEQ.sent.dmd.cram	1284073289	581.046664	530	418	258.725147	5005074	0.03263	15560016064	100.0	103046464	100.0	15258823002	99.479613	74815196	0.487756	10781744080	69.291343	71765624	69.643946	15119257802	98.569721	14474079536	94.363493	7697152971	98.944603	149.962003	151	151	8.651507	2772505	0.03602	2454138	0.031884	7779254995	100.0	51518245	100.0	7666773395	99.605314	27925438	0.362802	5729436638	73.650197	38090226	73.935411	7638950806	99.243848	7409181523	96.258728	53277634	0.684868	1293753	2.511252	0	0.0	0	0.0	0	0.0	7779254995	51518245	7641490301	98.210062	149.128281	151	151	11.571583	3013669	0.039438	2550936	0.033383	7780761069	100.0	51528219	100.0	7592049607	99.352997	46889758	0.613621	5052307442	64.933332	33675398	65.353313	7480306996	97.890682	7064898013	92.454452	95908853	1.232641	2303844	4.471034	0	0.0	0	0.0	15012	0.029134	7780761069	51528219	149186487	0.958781	3597597	3.491238	51513207	103046464	50011355	97.056246	103046464	100.0	0	0.0	0	0.0	0	0.0	102568409	99.536078	24867366	77701043	75.403891	1901400936	6899297	438386	18631	0.000601	0.014142	0.222564	3583123	0.115588	61.337067	2437800	0.078641	1547570	0.049923	1182991	0.038162	980996	60006	0.001936	0.031646	843708	0.027217	718262	0.02317	1.191237	1	125.224948	102568409	0	0	102568409	102456262	103046464	15560016064	103046464
20260507-LH01106-0005-A23K3JVLT4-LSMC-HG003-23ame-ilmn-1-bylane-8-D0-PCR-FREE-ILMN-NOVASEQ.sent	sent	15550188105	98.600061	149.577096	151	151	10.138245	7.772914	5811673	0.037374	11987755006	76.364298	79389106	76.364298	0	0.0	results/day/hg38/20260507-LH01106-0005-A23K3JVLT4-LSMC-HG003-23ame-ilmn-1-bylane-8-D0-PCR-FREE-ILMN-NOVASEQ/align/sent/dmd/20260507-LH01106-0005-A23K3JVLT4-LSMC-HG003-23ame-ilmn-1-bylane-8-D0-PCR-FREE-ILMN-NOVASEQ.sent.dmd.cram	1235995823	580.725843	529	414	259.981781	5040079	0.032412	15770972124	100.0	104443524	100.0	15474090425	99.510632	71057601	0.456957	11152836830	70.717498	74230175	71.07207	15352055352	98.72585	14759553054	94.915592	7801300356	98.940151	149.959601	151	151	8.672017	2823941	0.036198	2471126	0.031676	7884868019	100.0	52217669	100.0	7771821739	99.622132	27007491	0.346192	5897441802	74.794426	39206770	75.08334	7748655158	99.325174	7540291868	96.654295	54124324	0.686433	1309781	2.50831	0	0.0	0	0.0	0	0.0	7884868019	52217669	7748887749	98.260024	149.19397	151	151	11.406822	2987732	0.038557	2568953	0.033153	7886104105	100.0	52225855	100.0	7702268686	99.398377	44050110	0.56847	5255395028	66.641208	35023405	67.06143	7603400194	98.122472	7219261186	93.165128	93802195	1.189462	2229802	4.269537	0	0.0	0	0.0	15051	0.028819	7886104105	52225855	147926519	0.937967	3539583	3.388992	52210804	104443524	50772390	97.216963	104443524	100.0	0	0.0	0	0.0	0	0.0	103961024	99.538028	24571918	79389106	76.011516	1890610428	6880195	432660	18394	0.000593	0.013957	0.221948	3571018	0.115197	60.98903	2433074	0.078488	1544525	0.049825	1174700	0.037895	975758	60558	0.001954	0.031477	837516	0.027017	710655	0.022925	1.177381	1	116.394923	103961024	0	0	103961024	103850640	104443524	15770972124	104443524
20260507-LH01106-0005-A23K3JVLT4-LSMC-NTC-23ame-ilmn-1-bylane-1-D0-PCR-FREE-ILMN-NOVASEQ.sent	sent	10383109	33.704041	74.774476	78	78	13.236158	99.916318	824	0.007936	20606819	98.27883	136469	98.27883	0	0.0	results/day/hg38/20260507-LH01106-0005-A23K3JVLT4-LSMC-NTC-23ame-ilmn-1-bylane-1-D0-PCR-FREE-ILMN-NOVASEQ/align/sent/dmd/20260507-LH01106-0005-A23K3JVLT4-LSMC-NTC-23ame-ilmn-1-bylane-1-D0-PCR-FREE-ILMN-NOVASEQ.sent.dmd.cram	8294293	0.0	0	0	0.0	7723	0.07438	30806718	100.0	204018	100.0	10330182	99.490259	45204	0.435361	8370773	27.171908	113984	55.86958	8920492	85.913497	5657386	54.486436	5420149	51.654209	78.050645	78	78	1.24234	12	0.000221	24	0.000443	10493141	100.0	69491	100.0	5418611	99.971624	1514	0.027933	5313637	50.639146	68140	98.055863	5323048	98.208518	4791006	88.392515	5065895	48.278156	69439	99.92517	0	0.0	0	0.0	0	0.0	10493141	69491	4962960	24.431738	71.496939	69	69	18.095388	812	0.016361	7699	0.155129	20313577	100.0	134527	100.0	4911571	98.964549	43690	0.880321	3057136	15.049718	45844	34.077917	3597444	72.485855	866380	17.456921	5518705	27.167569	66642	49.538011	0	0.0	0	0.0	17	0.012637	20313577	134527	10584600	34.35809	136081	66.700487	134510	204018	134101	99.683335	204018	100.0	0	0.0	0	0.0	0	0.0	138859	68.062132	2390	136469	66.890667	3779	388	322	76	2e-06	1e-05	1.3e-05	381	1.2e-05	0.000122	371	1.2e-05	361	1.2e-05	355	1.1e-05	348	165	5e-06	1.1e-05	338	1.1e-05	333	1.1e-05	6.8e-05	0	0.23102	138859	0	0	138859	138808	204018	30806718	204018
20260507-LH01106-0005-A23K3JVLT4-LSMC-NTC-23ame-ilmn-1-bylane-2-D0-PCR-FREE-ILMN-NOVASEQ.sent	sent	10641000	33.780996	74.991015	78	78	12.921745	100.0	881	0.008279	21048343	98.23534	139393	98.23534	0	0.0	results/day/hg38/20260507-LH01106-0005-A23K3JVLT4-LSMC-NTC-23ame-ilmn-1-bylane-2-D0-PCR-FREE-ILMN-NOVASEQ/align/sent/dmd/20260507-LH01106-0005-A23K3JVLT4-LSMC-NTC-23ame-ilmn-1-bylane-2-D0-PCR-FREE-ILMN-NOVASEQ.sent.dmd.cram	8524408	0.0	0	0	0.0	6907	0.064909	31499959	100.0	208609	100.0	10588513	99.506747	45580	0.428343	8564702	27.189566	116177	55.691269	9077602	85.307791	5752091	54.055925	5539505	51.669667	78.055278	78	78	1.333359	2	3.6e-05	27	0.000487	10721000	100.0	71000	100.0	5537896	99.970954	1582	0.028559	5429635	50.644856	69623	98.060563	5442678	98.252064	4923961	88.888105	5176814	48.286671	70959	99.942254	0	0.0	0	0.0	0	0.0	10721000	71000	5101495	24.551254	71.92498	69	70	17.704999	879	0.01723	6880	0.134862	20778959	100.0	137609	100.0	5050617	99.002685	43998	0.862453	3135067	15.0877	46554	33.830636	3634924	71.252133	828130	16.233085	5608633	26.991886	68253	49.599227	0	0.0	0	0.0	28	0.020348	20778959	137609	10785447	34.239559	139212	66.733458	137581	208609	137190	99.695514	208609	100.0	0	0.0	0	0.0	0	0.0	141897	68.020555	2504	139393	66.820223	4738	393	320	77	3e-06	1.1e-05	1.4e-05	388	1.3e-05	0.000163	378	1.3e-05	363	1.3e-05	356	1.2e-05	349	171	6e-06	1.2e-05	340	1.2e-05	334	1.2e-05	7.6e-05	0	0.246368	141897	0	0	141897	141820	208609	31499959	208609
