RUN_ID	SAMPLE_ID	EXPERIMENTID	SAMPLESOURCE	SAMPLECLASS	BIOLOGICAL_SEX	SAMPLE_TYPE	LIB_PREP	SEQ_VENDOR	SEQ_PLATFORM	LANE	SEQBC_ID	PATH_TO_CONCORDANCE_DATA_DIR	CONCORDANCE_CONTROL_PATH	TRUTH_DATA_DIR	ILMN_R1_FQ	ILMN_R2_FQ	STAGE_DIRECTIVE	STAGE_TARGET	SUBSAMPLE_PCT	SAMPLEUSE	BWA_KMER	DEEP_MODEL	IS_POS_CTRL	IS_NEG_CTRL	TUM_NRM_SAMPLEID_MATCH	N_X	N_Y	EXTERNAL_SAMPLE_ID
20260507_LH01106_0005_A23K3JVLT4	s74478	23andme-run1-ILMN	blood	research	na	gdna	NOAMPWGS	ILMN	NOVASEQX	1	D0	na	na	na	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/s74478_S1_L001_R1_001.fastq.gz	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/s74478_S1_L001_R2_001.fastq.gz	stage_data	/data/staged_sample_data	na	sample	19	WGS	false	false	na	na	na	s74478
20260507_LH01106_0005_A23K3JVLT4	s74478	23andme-run1-ILMN	blood	research	na	gdna	NOAMPWGS	ILMN	NOVASEQX	2	D0	na	na	na	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/s74478_S1_L002_R1_001.fastq.gz	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/s74478_S1_L002_R2_001.fastq.gz	stage_data	/data/staged_sample_data	na	sample	19	WGS	false	false	na	na	na	s74478
20260507_LH01106_0005_A23K3JVLT4	s74478	23andme-run1-ILMN	blood	research	na	gdna	NOAMPWGS	ILMN	NOVASEQX	3	D0	na	na	na	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/s74478_S1_L003_R1_001.fastq.gz	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/s74478_S1_L003_R2_001.fastq.gz	stage_data	/data/staged_sample_data	na	sample	19	WGS	false	false	na	na	na	s74478
20260507_LH01106_0005_A23K3JVLT4	s74478	23andme-run1-ILMN	blood	research	na	gdna	NOAMPWGS	ILMN	NOVASEQX	4	D0	na	na	na	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/s74478_S1_L004_R1_001.fastq.gz	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/s74478_S1_L004_R2_001.fastq.gz	stage_data	/data/staged_sample_data	na	sample	19	WGS	false	false	na	na	na	s74478
20260507_LH01106_0005_A23K3JVLT4	s74478	23andme-run1-ILMN	blood	research	na	gdna	NOAMPWGS	ILMN	NOVASEQX	5	D0	na	na	na	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/s74478_S1_L005_R1_001.fastq.gz	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/s74478_S1_L005_R2_001.fastq.gz	stage_data	/data/staged_sample_data	na	sample	19	WGS	false	false	na	na	na	s74478
20260507_LH01106_0005_A23K3JVLT4	s74478	23andme-run1-ILMN	blood	research	na	gdna	NOAMPWGS	ILMN	NOVASEQX	6	D0	na	na	na	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/s74478_S1_L006_R1_001.fastq.gz	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/s74478_S1_L006_R2_001.fastq.gz	stage_data	/data/staged_sample_data	na	sample	19	WGS	false	false	na	na	na	s74478
20260507_LH01106_0005_A23K3JVLT4	s74478	23andme-run1-ILMN	blood	research	na	gdna	NOAMPWGS	ILMN	NOVASEQX	7	D0	na	na	na	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/s74478_S1_L007_R1_001.fastq.gz	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/s74478_S1_L007_R2_001.fastq.gz	stage_data	/data/staged_sample_data	na	sample	19	WGS	false	false	na	na	na	s74478
20260507_LH01106_0005_A23K3JVLT4	s74478	23andme-run1-ILMN	blood	research	na	gdna	NOAMPWGS	ILMN	NOVASEQX	8	D0	na	na	na	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/s74478_S1_L008_R1_001.fastq.gz	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/s74478_S1_L008_R2_001.fastq.gz	stage_data	/data/staged_sample_data	na	sample	19	WGS	false	false	na	na	na	s74478
20260507_LH01106_0005_A23K3JVLT4	s77407	23andme-run1-ILMN	blood	research	na	gdna	NOAMPWGS	ILMN	NOVASEQX	1	D0	na	na	na	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/s77407_S2_L001_R1_001.fastq.gz	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/s77407_S2_L001_R2_001.fastq.gz	stage_data	/data/staged_sample_data	na	sample	19	WGS	false	false	na	na	na	s77407
20260507_LH01106_0005_A23K3JVLT4	s77407	23andme-run1-ILMN	blood	research	na	gdna	NOAMPWGS	ILMN	NOVASEQX	2	D0	na	na	na	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/s77407_S2_L002_R1_001.fastq.gz	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/s77407_S2_L002_R2_001.fastq.gz	stage_data	/data/staged_sample_data	na	sample	19	WGS	false	false	na	na	na	s77407
20260507_LH01106_0005_A23K3JVLT4	s77407	23andme-run1-ILMN	blood	research	na	gdna	NOAMPWGS	ILMN	NOVASEQX	3	D0	na	na	na	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/s77407_S2_L003_R1_001.fastq.gz	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/s77407_S2_L003_R2_001.fastq.gz	stage_data	/data/staged_sample_data	na	sample	19	WGS	false	false	na	na	na	s77407
20260507_LH01106_0005_A23K3JVLT4	s77407	23andme-run1-ILMN	blood	research	na	gdna	NOAMPWGS	ILMN	NOVASEQX	4	D0	na	na	na	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/s77407_S2_L004_R1_001.fastq.gz	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/s77407_S2_L004_R2_001.fastq.gz	stage_data	/data/staged_sample_data	na	sample	19	WGS	false	false	na	na	na	s77407
20260507_LH01106_0005_A23K3JVLT4	s77407	23andme-run1-ILMN	blood	research	na	gdna	NOAMPWGS	ILMN	NOVASEQX	5	D0	na	na	na	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/s77407_S2_L005_R1_001.fastq.gz	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/s77407_S2_L005_R2_001.fastq.gz	stage_data	/data/staged_sample_data	na	sample	19	WGS	false	false	na	na	na	s77407
20260507_LH01106_0005_A23K3JVLT4	s77407	23andme-run1-ILMN	blood	research	na	gdna	NOAMPWGS	ILMN	NOVASEQX	6	D0	na	na	na	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/s77407_S2_L006_R1_001.fastq.gz	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/s77407_S2_L006_R2_001.fastq.gz	stage_data	/data/staged_sample_data	na	sample	19	WGS	false	false	na	na	na	s77407
20260507_LH01106_0005_A23K3JVLT4	s77407	23andme-run1-ILMN	blood	research	na	gdna	NOAMPWGS	ILMN	NOVASEQX	7	D0	na	na	na	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/s77407_S2_L007_R1_001.fastq.gz	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/s77407_S2_L007_R2_001.fastq.gz	stage_data	/data/staged_sample_data	na	sample	19	WGS	false	false	na	na	na	s77407
20260507_LH01106_0005_A23K3JVLT4	s77407	23andme-run1-ILMN	blood	research	na	gdna	NOAMPWGS	ILMN	NOVASEQX	8	D0	na	na	na	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/s77407_S2_L008_R1_001.fastq.gz	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/s77407_S2_L008_R2_001.fastq.gz	stage_data	/data/staged_sample_data	na	sample	19	WGS	false	false	na	na	na	s77407
20260507_LH01106_0005_A23K3JVLT4	s77409	23andme-run1-ILMN	blood	research	na	gdna	NOAMPWGS	ILMN	NOVASEQX	1	D0	na	na	na	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/s77409_S3_L001_R1_001.fastq.gz	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/s77409_S3_L001_R2_001.fastq.gz	stage_data	/data/staged_sample_data	na	sample	19	WGS	false	false	na	na	na	s77409
20260507_LH01106_0005_A23K3JVLT4	s77409	23andme-run1-ILMN	blood	research	na	gdna	NOAMPWGS	ILMN	NOVASEQX	2	D0	na	na	na	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/s77409_S3_L002_R1_001.fastq.gz	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/s77409_S3_L002_R2_001.fastq.gz	stage_data	/data/staged_sample_data	na	sample	19	WGS	false	false	na	na	na	s77409
20260507_LH01106_0005_A23K3JVLT4	s77409	23andme-run1-ILMN	blood	research	na	gdna	NOAMPWGS	ILMN	NOVASEQX	3	D0	na	na	na	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/s77409_S3_L003_R1_001.fastq.gz	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/s77409_S3_L003_R2_001.fastq.gz	stage_data	/data/staged_sample_data	na	sample	19	WGS	false	false	na	na	na	s77409
20260507_LH01106_0005_A23K3JVLT4	s77409	23andme-run1-ILMN	blood	research	na	gdna	NOAMPWGS	ILMN	NOVASEQX	4	D0	na	na	na	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/s77409_S3_L004_R1_001.fastq.gz	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/s77409_S3_L004_R2_001.fastq.gz	stage_data	/data/staged_sample_data	na	sample	19	WGS	false	false	na	na	na	s77409
20260507_LH01106_0005_A23K3JVLT4	s77409	23andme-run1-ILMN	blood	research	na	gdna	NOAMPWGS	ILMN	NOVASEQX	5	D0	na	na	na	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/s77409_S3_L005_R1_001.fastq.gz	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/s77409_S3_L005_R2_001.fastq.gz	stage_data	/data/staged_sample_data	na	sample	19	WGS	false	false	na	na	na	s77409
20260507_LH01106_0005_A23K3JVLT4	s77409	23andme-run1-ILMN	blood	research	na	gdna	NOAMPWGS	ILMN	NOVASEQX	6	D0	na	na	na	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/s77409_S3_L006_R1_001.fastq.gz	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/s77409_S3_L006_R2_001.fastq.gz	stage_data	/data/staged_sample_data	na	sample	19	WGS	false	false	na	na	na	s77409
20260507_LH01106_0005_A23K3JVLT4	s77409	23andme-run1-ILMN	blood	research	na	gdna	NOAMPWGS	ILMN	NOVASEQX	7	D0	na	na	na	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/s77409_S3_L007_R1_001.fastq.gz	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/s77409_S3_L007_R2_001.fastq.gz	stage_data	/data/staged_sample_data	na	sample	19	WGS	false	false	na	na	na	s77409
