RUNID	SAMPLEID	EXPERIMENTID	LANEID	BARCODEID	LIBPREP	SEQ_VENDOR	SEQ_PLATFORM	ILMN_R1_PATH	ILMN_R2_PATH	PACBIO_R1_PATH	PACBIO_R2_PATH	ONT_R1_PATH	ONT_R2_PATH	UG_R1_PATH	UG_R2_PATH	SUBSAMPLE_PCT	ILMN_TRIM_READ_LENGTH	SAMPLEUSE	BWA_KMER	DEEP_MODEL	ULTIMA_CRAM	ULTIMA_CRAM_ALIGNER	ULTIMA_CRAM_SNV_CALLER	ONT_CRAM	ONT_CRAM_ALIGNER	ONT_CRAM_SNV_CALLER	PB_BAM	PB_BAM_ALIGNER	PB_BAM_SNV_CALLER	ROCHE_BAM	ROCHE_BAM_ALIGNER	ROCHE_BAM_SNV_CALLER	ROCHE_DOWNSAMPLE_RATIO	LONGREADTRIM_READ_LENGTH	LONGREADTRIM_MODE	ULTIMA_SUBSAMPLE_PCT	ONT_SUBSAMPLE_PCT	ONT_BAM	ONT_BAM_ALIGNER	ONT_BAM_SNV_CALLER
20260507-LH01106-0005-A23K3JVLT4	LSMC-HG003	23andme-run1-ILMN	0	D0	PCR-FREE	ILMN	NOVASEQ	/fsx/data/staged_sample_data/remote_stage_20260510T130308Z/20260507-LH01106-0005-A23K3JVLT4_LSMC-HG003-NOVASEQ-PCR-FREE-gdna-23andme-run1-ILMN_D0_0/20260507-LH01106-0005-A23K3JVLT4_LSMC-HG003-NOVASEQ-PCR-FREE-gdna-23andme-run1-ILMN_D0_0_merged_R1.fastq.gz	/fsx/data/staged_sample_data/remote_stage_20260510T130308Z/20260507-LH01106-0005-A23K3JVLT4_LSMC-HG003-NOVASEQ-PCR-FREE-gdna-23andme-run1-ILMN_D0_0/20260507-LH01106-0005-A23K3JVLT4_LSMC-HG003-NOVASEQ-PCR-FREE-gdna-23andme-run1-ILMN_D0_0_merged_R2.fastq.gz							na		posControl	19	WGS																				
20260507-LH01106-0005-A23K3JVLT4	LSMC-NTC	23andme-run1-ILMN	0	D0	PCR-FREE	ILMN	NOVASEQ	/fsx/data/staged_sample_data/remote_stage_20260510T130308Z/20260507-LH01106-0005-A23K3JVLT4_LSMC-NTC-NOVASEQ-PCR-FREE-gdna-23andme-run1-ILMN_D0_0/20260507-LH01106-0005-A23K3JVLT4_LSMC-NTC-NOVASEQ-PCR-FREE-gdna-23andme-run1-ILMN_D0_0_merged_R1.fastq.gz	/fsx/data/staged_sample_data/remote_stage_20260510T130308Z/20260507-LH01106-0005-A23K3JVLT4_LSMC-NTC-NOVASEQ-PCR-FREE-gdna-23andme-run1-ILMN_D0_0/20260507-LH01106-0005-A23K3JVLT4_LSMC-NTC-NOVASEQ-PCR-FREE-gdna-23andme-run1-ILMN_D0_0_merged_R2.fastq.gz							na		negControl	19	WGS																				
20260507-LH01106-0005-A23K3JVLT4	s74478	23andme-run1-ILMN	0	D0	PCR-FREE	ILMN	NOVASEQ	/fsx/data/staged_sample_data/remote_stage_20260510T130308Z/20260507-LH01106-0005-A23K3JVLT4_s74478-NOVASEQ-PCR-FREE-gdna-23andme-run1-ILMN_D0_0/20260507-LH01106-0005-A23K3JVLT4_s74478-NOVASEQ-PCR-FREE-gdna-23andme-run1-ILMN_D0_0_merged_R1.fastq.gz	/fsx/data/staged_sample_data/remote_stage_20260510T130308Z/20260507-LH01106-0005-A23K3JVLT4_s74478-NOVASEQ-PCR-FREE-gdna-23andme-run1-ILMN_D0_0/20260507-LH01106-0005-A23K3JVLT4_s74478-NOVASEQ-PCR-FREE-gdna-23andme-run1-ILMN_D0_0_merged_R2.fastq.gz							na		sample	19	WGS																				
20260507-LH01106-0005-A23K3JVLT4	s77407	23andme-run1-ILMN	0	D0	PCR-FREE	ILMN	NOVASEQ	/fsx/data/staged_sample_data/remote_stage_20260510T130308Z/20260507-LH01106-0005-A23K3JVLT4_s77407-NOVASEQ-PCR-FREE-gdna-23andme-run1-ILMN_D0_0/20260507-LH01106-0005-A23K3JVLT4_s77407-NOVASEQ-PCR-FREE-gdna-23andme-run1-ILMN_D0_0_merged_R1.fastq.gz	/fsx/data/staged_sample_data/remote_stage_20260510T130308Z/20260507-LH01106-0005-A23K3JVLT4_s77407-NOVASEQ-PCR-FREE-gdna-23andme-run1-ILMN_D0_0/20260507-LH01106-0005-A23K3JVLT4_s77407-NOVASEQ-PCR-FREE-gdna-23andme-run1-ILMN_D0_0_merged_R2.fastq.gz							na		sample	19	WGS																				
20260507-LH01106-0005-A23K3JVLT4	s77409	23andme-run1-ILMN	0	D0	PCR-FREE	ILMN	NOVASEQ	/fsx/data/staged_sample_data/remote_stage_20260510T130308Z/20260507-LH01106-0005-A23K3JVLT4_s77409-NOVASEQ-PCR-FREE-gdna-23andme-run1-ILMN_D0_0/20260507-LH01106-0005-A23K3JVLT4_s77409-NOVASEQ-PCR-FREE-gdna-23andme-run1-ILMN_D0_0_merged_R1.fastq.gz	/fsx/data/staged_sample_data/remote_stage_20260510T130308Z/20260507-LH01106-0005-A23K3JVLT4_s77409-NOVASEQ-PCR-FREE-gdna-23andme-run1-ILMN_D0_0/20260507-LH01106-0005-A23K3JVLT4_s77409-NOVASEQ-PCR-FREE-gdna-23andme-run1-ILMN_D0_0_merged_R2.fastq.gz							na		sample	19	WGS																				
20260507-LH01106-0005-A23K3JVLT4	s77414	23andme-run1-ILMN	0	D0	PCR-FREE	ILMN	NOVASEQ	/fsx/data/staged_sample_data/remote_stage_20260510T130308Z/20260507-LH01106-0005-A23K3JVLT4_s77414-NOVASEQ-PCR-FREE-gdna-23andme-run1-ILMN_D0_0/20260507-LH01106-0005-A23K3JVLT4_s77414-NOVASEQ-PCR-FREE-gdna-23andme-run1-ILMN_D0_0_merged_R1.fastq.gz	/fsx/data/staged_sample_data/remote_stage_20260510T130308Z/20260507-LH01106-0005-A23K3JVLT4_s77414-NOVASEQ-PCR-FREE-gdna-23andme-run1-ILMN_D0_0/20260507-LH01106-0005-A23K3JVLT4_s77414-NOVASEQ-PCR-FREE-gdna-23andme-run1-ILMN_D0_0_merged_R2.fastq.gz							na		sample	19	WGS																				
20260507-LH01106-0005-A23K3JVLT4	s77433	23andme-run1-ILMN	0	D0	PCR-FREE	ILMN	NOVASEQ	/fsx/data/staged_sample_data/remote_stage_20260510T130308Z/20260507-LH01106-0005-A23K3JVLT4_s77433-NOVASEQ-PCR-FREE-gdna-23andme-run1-ILMN_D0_0/20260507-LH01106-0005-A23K3JVLT4_s77433-NOVASEQ-PCR-FREE-gdna-23andme-run1-ILMN_D0_0_merged_R1.fastq.gz	/fsx/data/staged_sample_data/remote_stage_20260510T130308Z/20260507-LH01106-0005-A23K3JVLT4_s77433-NOVASEQ-PCR-FREE-gdna-23andme-run1-ILMN_D0_0/20260507-LH01106-0005-A23K3JVLT4_s77433-NOVASEQ-PCR-FREE-gdna-23andme-run1-ILMN_D0_0_merged_R2.fastq.gz							na		sample	19	WGS																				
20260507-LH01106-0005-A23K3JVLT4	s77483	23andme-run1-ILMN	0	D0	PCR-FREE	ILMN	NOVASEQ	/fsx/data/staged_sample_data/remote_stage_20260510T130308Z/20260507-LH01106-0005-A23K3JVLT4_s77483-NOVASEQ-PCR-FREE-gdna-23andme-run1-ILMN_D0_0/20260507-LH01106-0005-A23K3JVLT4_s77483-NOVASEQ-PCR-FREE-gdna-23andme-run1-ILMN_D0_0_merged_R1.fastq.gz	/fsx/data/staged_sample_data/remote_stage_20260510T130308Z/20260507-LH01106-0005-A23K3JVLT4_s77483-NOVASEQ-PCR-FREE-gdna-23andme-run1-ILMN_D0_0/20260507-LH01106-0005-A23K3JVLT4_s77483-NOVASEQ-PCR-FREE-gdna-23andme-run1-ILMN_D0_0_merged_R2.fastq.gz							na		sample	19	WGS																				
20260507-LH01106-0005-A23K3JVLT4	s77586	23andme-run1-ILMN	0	D0	PCR-FREE	ILMN	NOVASEQ	/fsx/data/staged_sample_data/remote_stage_20260510T130308Z/20260507-LH01106-0005-A23K3JVLT4_s77586-NOVASEQ-PCR-FREE-gdna-23andme-run1-ILMN_D0_0/20260507-LH01106-0005-A23K3JVLT4_s77586-NOVASEQ-PCR-FREE-gdna-23andme-run1-ILMN_D0_0_merged_R1.fastq.gz	/fsx/data/staged_sample_data/remote_stage_20260510T130308Z/20260507-LH01106-0005-A23K3JVLT4_s77586-NOVASEQ-PCR-FREE-gdna-23andme-run1-ILMN_D0_0/20260507-LH01106-0005-A23K3JVLT4_s77586-NOVASEQ-PCR-FREE-gdna-23andme-run1-ILMN_D0_0_merged_R2.fastq.gz							na		sample	19	WGS																				
20260507-LH01106-0005-A23K3JVLT4	s77612	23andme-run1-ILMN	0	D0	PCR-FREE	ILMN	NOVASEQ	/fsx/data/staged_sample_data/remote_stage_20260510T130308Z/20260507-LH01106-0005-A23K3JVLT4_s77612-NOVASEQ-PCR-FREE-gdna-23andme-run1-ILMN_D0_0/20260507-LH01106-0005-A23K3JVLT4_s77612-NOVASEQ-PCR-FREE-gdna-23andme-run1-ILMN_D0_0_merged_R1.fastq.gz	/fsx/data/staged_sample_data/remote_stage_20260510T130308Z/20260507-LH01106-0005-A23K3JVLT4_s77612-NOVASEQ-PCR-FREE-gdna-23andme-run1-ILMN_D0_0/20260507-LH01106-0005-A23K3JVLT4_s77612-NOVASEQ-PCR-FREE-gdna-23andme-run1-ILMN_D0_0_merged_R2.fastq.gz							na		sample	19	WGS																				
